id_paciente;nombre_referencia;direccion;codigo_postal;municipio;provincia;tipo_zona
PAC-111;Paciente 111;Calle Nagusia 40;48800;Zalla;Bizkaia;Urbana
PAC-112;Paciente 112;Barrio Güeñes Auzoa 5;48840;Güeñes;Bizkaia;Rural
PAC-113;Paciente 113;Barrio Sopuerta Auzoa 3;48190;Sopuerta;Bizkaia;Rural
PAC-114;Paciente 114;Barrio Galdames Auzoa 2;48191;Galdames;Bizkaia;Rural
PAC-115;Paciente 115;Barrio Zierbena Auzoa 6;48508;Zierbena;Bizkaia;Rural
PAC-116;Paciente 116;Calle Nagusia 18;48800;Orduña;Bizkaia;Rural
PAC-117;Paciente 117;Barrio Amurrio Auzoa 5;48800;Orduña;Bizkaia;Rural
PAC-118;Paciente 118;Calle Foruen Etorbidea 9;48001;Bilbao;Bizkaia;Urbana
PAC-119;Paciente 119;Calle Ercilla 12, 5º;48009;Bilbao;Bizkaia;Urbana
PAC-120;Paciente 120;Calle Licenciado Poza 30, 3º;48011;Bilbao;Bizkaia;Urbana
